Longitude,Latitude
60.191515,21.909869
60.191459,21.909818
60.191397,21.909852
60.191216,21.910175
60.191132,21.910412
60.191111,21.910568
60.191136,21.910803
60.191305,21.911393
60.191322,21.911498
60.191310,21.911977
60.191286,21.912825
60.191262,21.913636
60.191236,21.913766
60.191057,21.914266
60.191026,21.914417
60.191032,21.914568
60.191078,21.914682
60.191151,21.914737
60.191226,21.914749
60.191472,21.914736
60.191557,21.914746
60.191636,21.914766
60.191711,21.914810
60.191781,21.914850
60.191852,21.914883
60.191931,21.914937
60.192094,21.915006
60.192249,21.915052
60.192320,21.915055
60.192401,21.915064
60.192487,21.915056
60.192573,21.915059
60.192660,21.915054
60.192834,21.915031
60.192952,21.915003
60.193276,21.914951
60.193403,21.914907
60.193534,21.914838
60.193619,21.914781
60.193861,21.914559
60.194129,21.914285
60.194316,21.914139
60.194462,21.914052
60.194555,21.913976
60.194601,21.913930
60.194641,21.913875
60.194712,21.913737
60.194743,21.913657
60.194767,21.913570
60.194788,21.913380
60.194769,21.912980
60.194579,21.912197
60.194319,21.911487
60.194306,21.911436
60.19156,21.910032
60.191601,21.909863
60.191411,21.910025
60.191381,21.910211
60.19133,21.910491
60.191288,21.910758
60.191262,21.910923
60.191454,21.911571
60.191443,21.911664
60.191331,21.912105
60.191446,21.91283
60.191352,21.913731
60.191256,21.913788
60.191145,21.914315
60.191078,21.914601
60.191074,21.914586
60.191249,21.914769
60.191338,21.914808
60.191332,21.914799
60.191574,21.914833
60.191668,21.914896
60.191814,21.914914
60.191825,21.914997
60.191923,21.91497
60.191932,21.914917
60.19212,21.915057
60.192212,21.915098
60.19235,21.915228
60.192497,21.915223
60.192578,21.915213
60.192599,21.915226
60.19258,21.915205
60.192722,21.91508
60.192838,21.915132
60.193063,21.915057
60.193383,21.915089
60.193545,21.914935
60.193714,21.914991
60.193681,21.914856
60.193887,21.914682
60.194216,21.914475
60.194509,21.914191
60.194626,21.914182
60.194705,21.914056
60.194753,21.914057
60.194795,21.913926
60.194765,21.913873
60.194784,21.913809
60.194828,21.913756
60.194804,21.913436
60.194862,21.913012
60.194607,21.912275
60.194388,21.911605
60.194442,21.911563
60.191416,21.909754
60.19144,21.909681
60.191355,21.909727
60.191043,21.910172
60.190953,21.910322
60.191006,21.910417
60.190996,21.910748
60.191119,21.911348
60.191283,21.911413
60.191146,21.911801
60.19125,21.912784
60.191179,21.913518
60.191131,21.913705
60.191019,21.914125
60.190937,21.914278
60.191016,21.914539
60.191068,21.914658
60.191151,21.914556
60.19104,21.914629
60.19134,21.914679
60.191482,21.914548
60.191509,21.914612
60.191585,21.914738
60.191778,21.914739
60.191797,21.914704
60.191893,21.914822
60.192039,21.914859
60.192231,21.91494
60.192202,21.915013
60.192308,21.91504
60.192359,21.915028
60.19253,21.914859
60.192492,21.915009
60.19264,21.915012
60.192914,21.914953
60.193219,21.914831
60.193214,21.914853
60.193506,21.914837
60.19349,21.91471
60.193816,21.914461
60.194029,21.914091
60.194167,21.9141
60.194437,21.914004
60.194543,21.913807
60.194403,21.913819
60.194483,21.913862
60.194666,21.913628
60.194569,21.913616
60.19463,21.913377
60.194702,21.913374
60.194721,21.912964
60.194516,21.912031
60.194144,21.911451
60.194186,21.911378
60.191689,21.909931
60.191611,21.909917
60.191479,21.909964
60.191309,21.910238
60.191247,21.91061
60.191131,21.910591
60.191253,21.910877
60.191485,21.911456
60.191436,21.911696
60.191501,21.912035
60.191435,21.912954
60.191338,21.913836
60.191258,21.913781
60.191212,21.914452
60.191137,21.914514
60.191101,21.91472
60.191179,21.914813
60.191248,21.91478
60.19142,21.914893
60.191661,21.914752
60.191602,21.914748
60.19165,21.914792
60.191841,21.914862
60.191885,21.915038
60.191871,21.915047
60.192081,21.915027
60.192131,21.915112
60.192363,21.915123
60.192425,21.915208
60.192513,21.915122
60.192651,21.915246
60.192578,21.915133
60.192804,21.915158
60.192965,21.915146
60.192954,21.915115
60.19343,21.91515
60.193517,21.91506
60.193696,21.914935
60.193668,21.914954
60.19404,21.914732
60.194238,21.914369
60.194426,21.914185
60.19458,21.914134
60.194588,21.914142
60.194651,21.914103
60.194717,21.913939
60.194896,21.913858
60.194813,21.913837
60.194877,21.913732
60.194982,21.913536
60.19483,21.913164
60.194728,21.912313
60.194401,21.911538
60.194469,21.911605
60.191491,21.909835
60.191428,21.909632
60.191306,21.909711
60.191061,21.909993
60.190966,21.910293
60.191049,21.910403
60.191104,21.910638
60.191199,21.911346
60.19127,21.911357
60.191164,21.911827
60.19128,21.912799
60.19126,21.913562
60.19123,21.91363
60.190872,21.91423
60.191015,21.914312
60.190848,21.91451
60.190959,21.914537
60.191125,21.91459
60.191172,21.91463
60.191415,21.914597
60.191505,21.914735
60.191632,21.914596
60.19169,21.914754
60.191598,21.914757
60.191786,21.914706
60.191824,21.914848
60.192041,21.914864
60.192221,21.914927
60.19225,21.914898
60.192317,21.914929
60.192397,21.91487
60.192493,21.915031
60.192612,21.914861
60.192774,21.914937
60.192825,21.914803
60.193246,21.914819
60.193314,21.914716
60.193339,21.914758
60.193505,21.914716
60.193724,21.914498
60.194052,21.914103
60.194197,21.914095
60.194273,21.914019
60.194455,21.913962
60.194526,21.913776
60.194453,21.913814
60.194524,21.913659
60.1947,21.913458
60.194641,21.913498
60.194772,21.913244
60.1946,21.912846
60.194391,21.91202
60.194309,21.911293
60.194299,21.91137
60.191669,21.91003
60.191628,21.909834
60.191466,21.910051
60.191324,21.910367
60.191289,21.910549
60.191164,21.910653
60.191227,21.910961
60.191336,21.911535
60.191405,21.911548
60.19151,21.912115
60.19145,21.912919
60.191445,21.913737
60.191417,21.913846
60.191125,21.914296
60.191059,21.914508
60.191163,21.914713
60.191186,21.914815
60.191262,21.914848
60.19133,21.914758
